key,kind,side,case,role,timed,warmup,trace_id,process_ms,before_root_ms,root_ms,after_root_ms,cargo_exec_ms,non_exec_process_ms,query_count,spans,declared_engine_spans,received_engine_spans,gate_exit,replay_drift,complete_expected_execs
dagger-rust-generator-pair-iw520xrb-application-19-before,pilot,before,,,True,False,7e79c4e8b6e392ec6ff85b57a528b6fb,1207.661064,28.462684,1165.597222,13.60485,234.588331,973.0727329999999,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-19-after,pilot,after,,,True,False,0d3332d2ef291887ac283c2d48e9e4e9,1100.506298,26.966398,1058.195836,15.348729,237.45219,863.054108,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-19-before-messages,pilot,before,,,False,False,3bf102d654b4db9f1f1ad06d0f13b34a,809.256793,27.33182,772.252942,9.676042,0,809.256793,12,184,163,163,0,-0.0%,True
dagger-rust-generator-pair-iw520xrb-application-19-after-messages,pilot,after,,,False,False,a7c46b03a4c0f8e0bd9b6ea6154c30f7,653.336669,27.780585,616.516062,9.04396,0,653.336669,12,184,163,163,0,-0.0%,True
dagger-rust-generator-pair-iw520xrb-application-20-after,pilot,after,,,True,False,0e7ace8e2f8f7329a69bea8f1a9fac8a,1080.939699,26.84517,1039.657236,14.441847,203.611268,877.328431,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-20-before,pilot,before,,,True,False,b9c90eb36185923a63e354d189c8f14e,1291.243065,26.455612,1250.105035,14.686996,212.643686,1078.5993789999998,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-20-before-messages,pilot,before,,,False,False,66a0237b7b2a07b0692ac790f60532f7,848.259431,26.934987,812.673429,8.655137,0,848.259431,12,184,163,163,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-20-after-messages,pilot,after,,,False,False,310ec55a83087125d929247ac8df4c1e,688.024763,26.732137,651.671826,9.626731,0,688.024763,12,184,163,163,0,-0.0%,True
dagger-rust-generator-pair-iw520xrb-application-21-after,pilot,after,,,True,False,824760d9fc2525adad36fccc91c6e239,1157.286511,28.560724,1117.39078,11.339082,226.004472,931.282039,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-21-before,pilot,before,,,True,False,be8941ed67abefdcc4079d4bd77cdaa4,1166.999797,27.696051,1127.613735,11.693964,218.47308,948.526717,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-21-before-messages,pilot,before,,,False,False,5cc19448e6e1e452d73139a36f6c50cf,867.748125,27.352866,831.316231,9.082642,0,867.748125,12,184,163,163,0,-0.0%,True
dagger-rust-generator-pair-iw520xrb-application-21-after-messages,pilot,after,,,False,False,8e7b5a5891a87e4849af6a20f8917d16,659.409837,28.013343,620.870564,10.529016,0,659.409837,12,184,163,163,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-22-before,pilot,before,,,True,False,f4e7f189b10bde45eda253bf9c4ae0ab,1200.394229,27.759266,1159.735105,12.903361,221.346458,979.047771,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-22-after,pilot,after,,,True,False,5e1b9edfbaedfa422fbfccd83419d04f,1153.959558,27.881517,1112.606872,13.476234,209.168359,944.791199,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-22-before-messages,pilot,before,,,False,False,53d9965f28b0f1a5dcb9ffecd0997618,850.98601,28.444508,815.451355,7.09758,0,850.98601,12,184,163,163,0,-0.0%,True
